año;municipio;barrios de Barcelona;concepto;estado;valor
2016;Barcelona;la Verneda i la Pau;Índice socioeconómico territorial;;97,2
2016;Barcelona;total;Índice socioeconómico territorial;;108,9
2017;Barcelona;el Raval;Índice socioeconómico territorial;;75,0
2017;Barcelona;el Barri Gòtic;Índice socioeconómico territorial;;95,5
2017;Barcelona;la Barceloneta;Índice socioeconómico territorial;;95,1
2017;Barcelona;Sant Pere, Santa Caterina i la Ribera;Índice socioeconómico territorial;;100,1
2017;Barcelona;el Fort Pienc;Índice socioeconómico territorial;;113,1
2017;Barcelona;la Sagrada Família;Índice socioeconómico territorial;;113,0
2017;Barcelona;la Dreta de l'Eixample;Índice socioeconómico territorial;;123,1
2017;Barcelona;l'Antiga Esquerra de l'Eixample;Índice socioeconómico territorial;;119,9
2017;Barcelona;la Nova Esquerra de l'Eixample;Índice socioeconómico territorial;;117,1
2017;Barcelona;Sant Antoni;Índice socioeconómico territorial;;110,9
2017;Barcelona;el Poble Sec;Índice socioeconómico territorial;;93,1
2017;Barcelona;la Marina del Prat Vermell;Índice socioeconómico territorial;;74,4
2017;Barcelona;la Marina de Port;Índice socioeconómico territorial;;95,1
2017;Barcelona;la Font de la Guatlla;Índice socioeconómico territorial;;106,6
2017;Barcelona;Hostafrancs;Índice socioeconómico territorial;;103,8
2017;Barcelona;la Bordeta;Índice socioeconómico territorial;;107,0
2017;Barcelona;Sants-Badal;Índice socioeconómico territorial;;103,5
2017;Barcelona;Sants;Índice socioeconómico territorial;;109,6
2017;Barcelona;les Corts;Índice socioeconómico territorial;;123,1
2017;Barcelona;la Maternitat i Sant Ramon;Índice socioeconómico territorial;;119,1
2017;Barcelona;Pedralbes;Índice socioeconómico territorial;;130,1
2017;Barcelona;Vallvidrera, el Tibidabo i les Planes;Índice socioeconómico territorial;;119,4
2017;Barcelona;Sarrià;Índice socioeconómico territorial;;130,6
2017;Barcelona;les Tres Torres;Índice socioeconómico territorial;;136,9
2017;Barcelona;Sant Gervasi-la Bonanova;Índice socioeconómico territorial;;130,4
2017;Barcelona;Sant Gervasi-Galvany;Índice socioeconómico territorial;;132,3
2017;Barcelona;el Putxet i el Farró;Índice socioeconómico territorial;;127,2
2017;Barcelona;Vallcarca i els Penitents;Índice socioeconómico territorial;;120,0
2017;Barcelona;el Coll;Índice socioeconómico territorial;;111,2
2017;Barcelona;la Salut;Índice socioeconómico territorial;;119,6
2017;Barcelona;la Vila de Gràcia;Índice socioeconómico territorial;;116,8
2017;Barcelona;el Camp d'en Grassot i Gràcia Nova;Índice socioeconómico territorial;;119,9
2017;Barcelona;el Baix Guinardó;Índice socioeconómico territorial;;113,5
2017;Barcelona;Can Baró;Índice socioeconómico territorial;;106,9
2017;Barcelona;el Guinardó;Índice socioeconómico territorial;;110,7
2017;Barcelona;la Font d'en Fargues;Índice socioeconómico territorial;;120,7
2017;Barcelona;el Carmel;Índice socioeconómico territorial;;93,8
2017;Barcelona;la Teixonera;Índice socioeconómico territorial;;99,6
2017;Barcelona;Sant Genís dels Agudells;Índice socioeconómico territorial;;101,7
2017;Barcelona;Montbau;Índice socioeconómico territorial;;107,7
2017;Barcelona;la Vall d'Hebron;Índice socioeconómico territorial;;116,7
2017;Barcelona;la Clota;Índice socioeconómico territorial;;107,3
2017;Barcelona;Horta;Índice socioeconómico territorial;;107,0
2017;Barcelona;Vilapicina i la Torre Llobeta;Índice socioeconómico territorial;;104,8
2017;Barcelona;Porta;Índice socioeconómico territorial;;97,6
2017;Barcelona;el Turó de la Peira;Índice socioeconómico territorial;;85,2
2017;Barcelona;Can Peguera;Índice socioeconómico territorial;;82,6
